time	L1	L2	L3	L4
2018-01-26 13:00:00	41	69	58	48
2018-01-26 13:00:00	41	69	58	48
2018-01-26 13:00:00	41	69	58	48
2018-01-26 13:30:00	41	69	58	50
2018-01-26 13:30:00	41	69	58	50
2018-01-26 13:30:00	41	69	58	50
2018-01-26 13:30:00	41	69	58	50
2018-01-26 16:00:00	103	98	81	101
2018-01-26 16:00:00	103	98	81	101
2018-01-26 16:00:00	103	98	81	101
2018-01-26 16:00:00	103	98	81	101
2018-01-26 16:30:00	104	97	81	102
2018-01-26 16:30:00	104	97	81	102
2018-01-26 16:30:00	104	97	81	102
2018-01-26 16:30:00	104	97	81	102
2018-01-26 17:00:00	121	100	90	113
2018-01-26 17:00:00	121	100	90	113
2018-01-26 17:00:00	121	100	90	113
2018-01-26 17:00:00	121	100	90	113
2018-01-26 17:30:00	118	101	92	112
2018-01-26 17:30:00	118	101	92	112
2018-01-26 17:30:00	118	101	92	112
2018-01-26 17:30:00	118	101	92	112
2018-01-26 18:00:00	117	103	92	109
2018-01-26 18:00:00	117	103	92	109
2018-01-26 18:00:00	117	103	92	109
2018-01-26 18:00:00	117	103	92	109
2018-01-26 18:30:00	117	103	92	106
2018-01-26 18:30:00	117	103	92	106
2018-01-26 18:30:00	117	103	92	106
2018-01-26 18:30:00	117	103	92	106
2018-01-26 19:00:00	116	102	93	106
2018-01-26 19:00:00	116	102	93	106
2018-01-26 19:00:00	116	102	93	106
2018-01-26 19:00:00	116	102	93	106
2018-01-26 19:30:00	116	102	93	106
2018-01-26 19:30:00	116	102	93	106
2018-01-26 19:30:00	116	102	93	106
2018-01-26 19:30:00	116	102	93	106
2018-01-26 20:00:00	116	102	93	106
2018-01-26 20:00:00	116	102	93	106
2018-01-26 20:00:00	116	102	93	106
2018-01-26 20:00:00	116	102	93	106
2018-01-26 20:30:00	116	103	93	106
2018-01-26 20:30:00	116	103	93	106
2018-01-26 20:30:00	116	103	93	106
2018-01-26 20:30:00	116	103	93	106
2018-01-26 21:00:00	117	103	93	105
2018-01-26 21:00:00	117	103	93	105
2018-01-26 21:00:00	117	103	93	105
2018-01-26 21:00:00	117	103	93	105
2018-01-26 22:00:00	118	100	94	103
2018-01-26 22:00:00	118	100	94	103
2018-01-26 22:00:00	118	100	94	103
2018-01-26 22:00:00	118	100	94	103
2018-01-26 22:30:00	118	100	94	103
2018-01-26 22:30:00	118	100	94	103
2018-01-26 22:30:00	118	100	94	103
2018-01-26 22:30:00	118	100	94	103
2018-01-26 23:00:00	118	100	93	103
2018-01-26 23:00:00	118	100	93	103
