time	L1	L2	L3	L4	L5	L6
2018-01-26 05:30:00	3	7	2	2	6	3
2018-01-26 05:30:00	3	7	2	2	6	3
2018-01-26 05:30:00	3	7	2	2	6	3
2018-01-26 06:00:00	3	7	2	2	6	3
2018-01-26 06:00:00	3	7	2	2	6	3
2018-01-26 06:00:00	3	7	2	2	6	3
2018-01-26 06:00:00	3	7	2	2	6	3
2018-01-26 06:00:00	3	7	2	2	6	3
2018-01-26 06:00:00	3	7	2	2	6	3
2018-01-26 06:30:00	3	7	2	2	6	3
2018-01-26 06:30:00	3	7	2	2	6	3
2018-01-26 06:30:00	3	7	2	2	6	3
2018-01-26 06:30:00	3	7	2	2	6	3
2018-01-26 06:30:00	3	7	2	2	6	3
2018-01-26 06:30:00	3	7	2	2	6	3
2018-01-26 07:00:00	3	7	2	2	6	3
2018-01-26 07:00:00	3	7	2	2	6	3
2018-01-26 07:00:00	3	7	2	2	6	3
2018-01-26 07:00:00	3	7	2	2	6	3
2018-01-26 07:00:00	3	7	2	2	6	3
2018-01-26 07:00:00	3	7	2	2	6	3
2018-01-26 07:30:00	3	7	2	2	6	3
2018-01-26 07:30:00	3	7	2	2	6	3
2018-01-26 07:30:00	3	7	2	2	6	3
2018-01-26 07:30:00	3	7	2	2	6	3
2018-01-26 07:30:00	3	7	2	2	6	3
2018-01-26 07:30:00	3	7	2	2	6	3
2018-01-26 09:30:00	3	7	2	2	6	3
2018-01-26 09:30:00	3	7	2	2	6	3
2018-01-26 09:30:00	3	7	2	2	6	3
2018-01-26 09:30:00	3	7	2	2	6	3
2018-01-26 09:30:00	3	7	2	2	6	3
2018-01-26 09:30:00	3	7	2	2	6	3
2018-01-26 10:00:00	4	15	2	3	8	4
2018-01-26 10:00:00	4	15	2	3	8	4
2018-01-26 10:00:00	4	15	2	3	8	4
2018-01-26 10:00:00	4	15	2	3	8	4
2018-01-26 10:00:00	4	15	2	3	8	4
2018-01-26 10:00:00	4	15	2	3	8	4
2018-01-26 10:30:00	4	15	2	3	8	4
2018-01-26 10:30:00	4	15	2	3	8	4
2018-01-26 10:30:00	4	15	2	3	8	4
2018-01-26 10:30:00	4	15	2	3	8	4
2018-01-26 10:30:00	4	15	2	3	8	4
2018-01-26 10:30:00	4	15	2	3	8	4
2018-01-26 11:00:00	4	19	2	6	8	5
2018-01-26 11:00:00	4	19	2	6	8	5
2018-01-26 11:00:00	4	19	2	6	8	5
2018-01-26 11:00:00	4	19	2	6	8	5
2018-01-26 11:00:00	4	19	2	6	8	5
2018-01-26 11:00:00	4	19	2	6	8	5
2018-01-26 11:30:00	4	17	2	6	9	5
2018-01-26 11:30:00	4	17	2	6	9	5
2018-01-26 11:30:00	4	17	2	6	9	5
2018-01-26 11:30:00	4	17	2	6	9	5
2018-01-26 11:30:00	4	17	2	6	9	5
2018-01-26 11:30:00	4	17	2	6	9	5
2018-01-26 12:00:00	5	20	2	3	9	4
2018-01-26 12:00:00	5	20	2	3	9	4
2018-01-26 12:00:00	5	20	2	3	9	4
2018-01-26 12:00:00	5	20	2	3	9	4
2018-01-26 12:00:00	5	20	2	3	9	4
2018-01-26 12:00:00	5	20	2	3	9	4
