time	L1	L2	L3
2018-01-28 10:30:00	68	69	83
2018-01-28 11:00:00	68	69	83
2018-01-28 11:00:00	68	69	83
2018-01-28 11:00:00	68	69	83
2018-01-28 11:30:00	68	69	83
2018-01-28 11:30:00	68	69	83
2018-01-28 11:30:00	68	69	83
2018-01-28 12:00:00	68	69	83
2018-01-28 12:00:00	68	69	83
2018-01-28 12:00:00	68	69	83
2018-01-28 12:30:00	68	69	83
2018-01-28 12:30:00	68	69	83
2018-01-28 12:30:00	68	69	83
2018-01-28 13:00:00	68	69	83
2018-01-28 13:00:00	68	69	83
2018-01-28 13:00:00	68	69	83
2018-01-28 13:30:00	68	69	83
2018-01-28 13:30:00	68	69	83
2018-01-28 13:30:00	68	69	83
2018-01-28 14:00:00	68	69	83
2018-01-28 14:00:00	68	69	83
2018-01-28 14:00:00	68	69	83
2018-01-28 14:30:00	67	69	83
2018-01-28 14:30:00	67	69	83
2018-01-28 14:30:00	67	69	83
2018-01-28 15:00:00	67	69	82
2018-01-28 15:00:00	67	69	82
2018-01-28 15:00:00	67	69	82
2018-01-28 15:30:00	67	68	82
2018-01-28 15:30:00	67	68	82
2018-01-28 15:30:00	67	68	82
2018-01-28 16:00:00	67	68	82
2018-01-28 16:00:00	67	68	82
2018-01-28 16:00:00	67	68	82
2018-01-28 16:30:00	67	68	82
2018-01-28 16:30:00	67	68	82
2018-01-28 16:30:00	67	68	82
2018-01-28 17:00:00	67	68	82
2018-01-28 17:00:00	67	68	82
2018-01-28 17:00:00	67	68	82
2018-01-28 17:30:00	67	68	82
2018-01-28 17:30:00	67	68	82
2018-01-28 17:30:00	67	68	82
2018-01-28 18:00:00	67	68	82
2018-01-28 18:00:00	67	68	82
2018-01-28 18:00:00	67	68	82
2018-01-28 18:30:00	67	68	82
2018-01-28 18:30:00	67	68	82
2018-01-28 18:30:00	67	68	82
2018-01-28 19:00:00	67	68	82
2018-01-28 19:00:00	67	68	82
2018-01-28 19:00:00	67	68	82
2018-01-28 19:30:00	67	69	83
2018-01-28 19:30:00	67	69	83
2018-01-28 19:30:00	67	69	83
2018-01-28 20:00:00	67	68	83
2018-01-28 20:00:00	67	68	83
2018-01-28 20:00:00	67	68	83
2018-01-28 20:30:00	67	68	83
2018-01-28 20:30:00	67	68	83
2018-01-28 20:30:00	67	68	83
2018-01-28 21:00:00	67	68	83
2018-01-28 21:00:00	67	68	83
2018-01-28 21:00:00	67	68	83
2018-01-28 21:30:00	67	68	83
2018-01-28 21:30:00	67	68	83
2018-01-28 21:30:00	67	68	83
2018-01-28 22:00:00	66	68	83
2018-01-28 22:00:00	66	68	83
2018-01-28 22:00:00	66	68	83
2018-01-28 22:30:00	66	68	83
2018-01-28 22:30:00	66	68	83
2018-01-28 22:30:00	66	68	83
2018-01-28 23:00:00	66	68	83
2018-01-28 23:00:00	66	68	83
2018-01-28 23:00:00	66	68	83
2018-01-28 23:30:00	66	68	83
2018-01-28 23:30:00	66	68	83
2018-01-28 23:30:00	66	68	83
2018-01-29 00:00:00	65	68	83
2018-01-29 00:00:00	65	68	83
2018-01-29 00:00:00	65	68	83
2018-01-29 00:30:00	65	68	83
2018-01-29 00:30:00	65	68	83
2018-01-29 00:30:00	65	68	83
2018-01-29 01:00:00	65	68	82
2018-01-29 01:00:00	65	68	82
2018-01-29 01:00:00	65	68	82
2018-01-29 01:30:00	65	68	82
2018-01-29 01:30:00	65	68	82
2018-01-29 01:30:00	65	68	82
2018-01-29 02:00:00	65	68	82
2018-01-29 02:00:00	65	68	82
2018-01-29 02:00:00	65	68	82
2018-01-29 02:30:00	65	68	82
2018-01-29 02:30:00	65	68	82
2018-01-29 02:30:00	65	68	82
2018-01-29 03:00:00	65	68	82
2018-01-29 03:00:00	65	68	82
2018-01-29 03:00:00	65	68	82
2018-01-29 03:30:00	65	68	82
2018-01-29 03:30:00	65	68	82
2018-01-29 03:30:00	65	68	82
2018-01-29 04:00:00	65	68	82
2018-01-29 04:00:00	65	68	82
2018-01-29 04:00:00	65	68	82
2018-01-29 04:30:00	65	68	82
2018-01-29 04:30:00	65	68	82
2018-01-29 04:30:00	65	68	82
2018-01-29 05:00:00	65	68	82
2018-01-29 05:00:00	65	68	82
2018-01-29 05:00:00	65	68	82
2018-01-29 05:30:00	64	68	82
2018-01-29 05:30:00	64	68	82
2018-01-29 05:30:00	64	68	82
2018-01-29 06:00:00	64	68	82
